	reactome-id	wp-id
1000	R-HSA-162906	
1001	R-HSA-162909	WP2684
1002	R-HSA-176033	
1003	R-HSA-180897	
1004	R-HSA-180910	
1005	R-HSA-177243	
1006	R-HSA-180746	
1007	R-HSA-165054	
1008	R-HSA-165054	
1009	R-HSA-180689	
1010	R-HSA-180534	
1011	R-HSA-164952	
1012	R-HSA-164938	
1013	R-HSA-164939	
1014	R-HSA-167590	
1015	R-HSA-164940	
1016	R-HSA-182218	
1017	R-HSA-164944	
1018	R-HSA-176034	
1019	R-HSA-180585	
1020	R-HSA-162587	WP2658
1021	R-HSA-162594	
1022	R-HSA-162592	
1023	R-HSA-164843	
1024	R-HSA-175567	
1025	R-HSA-177539	
1026	R-HSA-162589	
1027	R-HSA-164525	
1028	R-HSA-164516	
1029	R-HSA-173107	
1030	R-HSA-162585	
1031	R-HSA-162599	
1032	R-HSA-167172	
1033	R-HSA-167287	
1034	R-HSA-167290	
1035	R-HSA-167169	
1036	R-HSA-167242	
1037	R-HSA-167246	
1038	R-HSA-167200	
1039	R-HSA-167158	
1040	R-HSA-167160	
1041	R-HSA-77075	
1042	R-HSA-167243	
1043	R-HSA-167162	
1044	R-HSA-167161	
1045	R-HSA-167238	
1046	R-HSA-167152	
1047	R-HSA-167168	
1048	R-HSA-162588	
1049	R-HSA-175474	
1050	R-HSA-174495	
1051	R-HSA-174490	
1052	R-HSA-171286	
1053	R-HSA-5339562	
1054	R-HSA-5210891	WP3390
1055	R-HSA-168799	WP2665
1056	R-HSA-5250989	
1057	R-HSA-5250992	
1058	R-HSA-5250968	
1059	R-HSA-5250955	
1060	R-HSA-5250981	
1061	R-HSA-5250958	
1062	R-HSA-5250982	
1063	R-HSA-5250971	
